MAC,SSID,Encryption,FirstSeen,Channel,RSSI,Latitude,Longitude,AltitudeMeters,AccuracyMeters,Type
BC:62:D2:A6:B4:17,NEXTWISE_MANAV,[WPA2-PSK-CCMP+TKIP][ESS],35:29.2,1,-74,30.411184,77.967048,0,290,WIFI
BC:62:D2:A6:B4:19,Samar,[WPA2-PSK-CCMP+TKIP][ESS],35:29.2,1,-74,30.411184,77.967048,0,290,WIFI
BC:62:D2:A6:B4:1A,Wi-Fi 200 Rs.,[ESS],35:29.2,1,-75,30.411184,77.967048,0,290,WIFI
BC:62:D2:A6:B4:1B,Call 8569926251 for Password,[WPA2-PSK-CCMP+TKIP][ESS],35:29.2,1,-76,30.411182,77.967048,0,290,WIFI
B0:A7:B9:8C:71:1F,Lakharwal Niwas,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],35:29.2,2,-77,30.411182,77.967048,0,290,WIFI
96:00:FE:F3:69:39,Galaxy M323410,[WPA2-PSK-CCMP+TKIP][ESS],35:29.2,6,-56,30.411178,77.967056,0,290,WIFI
1C:18:4A:84:4A:60,MB Deathawk,[WPA2-PSK-CCMP+TKIP][ESS],35:29.2,9,-86,30.411178,77.967056,967.7,290,WIFI
BC:62:D2:A6:B4:17,NEXTWISE_MANAV,[ESS],35:29.2,1,-78,30.411174,77.967063,967.7,290,WIFI
BC:62:D2:A6:B4:18,1X,[ESS],35:29.2,1,-77,30.411174,77.967063,967.7,290,WIFI
BC:62:D2:A6:B4:19,Samar,[WPA2-PSK-CCMP+TKIP][ESS],35:33.4,1,-80,30.411174,77.967063,967.7,290,WIFI
BC:62:D2:A6:B4:1A,Wi-Fi 200 Rs.,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1,1,-78,30.411174,77.967063,967.7,290,WIFI
BC:62:D2:A6:B4:1B,Call 8569926251 for Password,[WPA2-PSK-CCMP+TKIP][ESS],35:33.4,1,-79,30.411184,77.967063,967.7,290,WIFI
B0:A7:B9:8C:71:1F,Lakharwal Niwas,[WPA2-PSK-CCMP+TKIP][ESS],35:33.4,2,-78,30.411184,77.967063,967.7,290,WIFI
04:95:E6:41:90:48,Tenda_419048,[WPA2-PSK-CCMP+TKIP][ESS],35:33.4,3,-90,30.411184,77.967063,967.7,290,WIFI
96:00:FE:F3:69:39,Galaxy M323410,[WPA2-PSK-CCMP+TKIP][ESS],35:33.4,6,-48,30.411184,77.967063,967.7,290,WIFI
A8:3A:48:1C:10:56,Baaba Da Wifive,[WPA2-PSK-CCMP+TKIP][ESS],35:33.4,7,-77,30.411184,77.967063,967.7,290,WIFI
C0:A5:DD:19:95:68,ENET 406,[ESS],35:33.4,2,-82,30.411184,77.967063,967.7,290,WIFI
84:16:F9:8F:39:22,DOON SCHOLAR 703,[WPA2-PSK-CCMP+TKIP][ESS],35:33.4,2,-80,30.411184,77.967071,967.7,290,WIFI
BC:62:D2:A6:B4:17,NEXTWISE_MANAV,[WPA2-PSK-CCMP+TKIP][ESS],35:33.4,1,-86,30.411184,77.967071,967.7,290,WIFI
40:3F:8C:6B:C0:31,ENET DOON 603,[WPA2-PSK-CCMP+TKIP][ESS],35:33.4,4,-80,30.411186,77.967071,967.7,290,WIFI
96:00:FE:F3:69:39,Galaxy M323410,[WPA2-PSK-CCMP+TKIP][ESS],35:37.6,6,-55,30.411186,77.967071,967.7,290,WIFI
BC:62:D2:A6:B4:1B,Call 8569926251 for Password,[ESS],35:37.6,1,-82,30.41119,77.967071,967.7,290,WIFI
A8:3A:48:1C:10:56,Baaba Da Wifive,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],35:37.6,7,-72,30.41119,77.967071,967.7,290,WIFI
1C:18:4A:84:4A:60,MB Deathawk,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],35:37.6,9,-73,30.411191,77.967071,967.7,290,WIFI
40:3F:8C:6B:C5:29,ENET 110,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],35:37.6,9,-93,30.411191,77.967071,967.7,290,WIFI
BC:62:D2:A6:B4:19,Samar,[WPA2-PSK-CCMP+TKIP][ESS],35:37.6,1,-81,30.411191,77.967071,967.7,290,WIFI
C0:A5:DD:1F:70:D0,MERCUSYS_70D0,[WPA2-PSK-CCMP+TKIP][ESS],35:37.7,10,-84,30.411191,77.967071,967.7,290,WIFI
C0:A5:DD:1F:6F:A8,DOON SCHOOLERS  602,[WPA2-PSK-CCMP+TKIP][ESS],35:37.7,10,-89,30.411214,77.967056,969.7,473,WIFI
04:95:E6:41:8F:F0,ENET 25,[ESS],35:37.7,1,-91,30.411214,77.967056,969.7,473,WIFI
BC:62:D2:A6:B4:1A,Wi-Fi 200 Rs.,[ESS],35:37.7,1,-85,30.411212,77.967056,969.7,473,WIFI
BC:62:D2:A6:B4:17,NEXTWISE_MANAV,[WPA2-PSK-CCMP+TKIP][ESS],35:37.7,1,-81,30.411212,77.967056,969.7,473,WIFI
BC:62:D2:A6:B4:18,1X,[ESS],35:37.7,1,-82,30.411214,77.967056,969.7,473,WIFI
BC:62:D2:A6:B4:19,Samar,[WPA2-PSK-CCMP+TKIP][ESS],35:37.7,1,-82,30.411214,77.967056,969.7,9999,WIFI
BC:62:D2:A6:B4:1A,Wi-Fi 200 Rs.,[WPA2-PSK-CCMP+TKIP][ESS],35:37.7,1,-84,30.411214,77.967056,969.7,9999,WIFI
BC:62:D2:A6:B4:1B,Call 8569926251 for Password,[WPA2-PSK-CCMP+TKIP][ESS],35:41.9,1,-84,30.411214,77.967056,969.7,9999,WIFI
80:26:89:AD:D1:70,WOODSTOCK_ISHAN,[WPA2-PSK-CCMP+TKIP][ESS],35:41.9,1,-80,30.411209,77.967056,969.7,9999,WIFI
B0:A7:B9:8C:71:1F,Lakharwal Niwas,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],35:41.9,2,-85,30.411209,77.967056,969.7,9999,WIFI
50:2B:73:D5:3C:08,green house,[WPA2-PSK-CCMP+TKIP][ESS],35:41.9,6,-77,30.411211,77.967056,969.7,9999,WIFI
96:00:FE:F3:69:39,Galaxy M323410,[ESS],35:41.9,6,-58,30.411211,77.967056,969.7,9999,WIFI
1C:18:4A:84:4A:60,MB Deathawk,[WPA2-PSK-CCMP+TKIP][ESS],35:41.9,9,-88,30.411209,77.967063,969.7,9999,WIFI
80:26:89:AD:C5:F8,WOODSTOCK_ISHAN,[WPA2-PSK-CCMP+TKIP][ESS],35:41.9,11,-88,30.411209,77.967063,969.6,291,WIFI
50:2B:73:BD:A7:E8,ROOM 206,[ESS],35:41.9,1,-87,30.411218,77.967056,969.6,291,WIFI
C0:06:C3:C2:DE:F2,Stanza_Spectra_WiFi_Zone,[WPA2-PSK-CCMP+TKIP][ESS],35:41.9,1,-85,30.411218,77.967056,969.6,291,WIFI
D8:32:14:89:64:40,SERANG_WIFI,[WPA2-PSK-CCMP+TKIP][ESS],35:42.0,1,-87,30.41122,77.967056,969.6,291,WIFI
38:6B:1C:3A:E5:EA,guruji(1),[ESS],35:42.0,1,-90,30.41122,77.967056,969.6,291,WIFI
04:95:E6:51:A9:40,AMBITION 24,[WPA2-PSK-CCMP+TKIP][ESS],35:54.5,1,-84,30.4113,77.967041,969.6,291,WIFI
04:95:E6:41:8F:F0,ENET 25,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],35:54.5,1,-81,30.411302,77.967041,969.6,291,WIFI
C8:E7:D8:A0:67:FA,ENET 704,[WPA2-PSK-CCMP+TKIP][ESS],35:54.5,2,-92,30.411302,77.967041,969.6,291,WIFI
04:95:E6:41:90:40,ENET AMBITION 26,[WPA2-PSK-CCMP+TKIP][ESS],35:54.5,1,-92,30.411304,77.967033,969.6,291,WIFI
C4:70:0B:C2:C1:70,ABHI,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],35:54.5,3,-87,30.411304,77.967033,969.6,291,WIFI
C0:25:2F:FE:92:FF,BSNL F2,[WPA2-PSK-CCMP+TKIP][ESS],35:54.5,3,-86,30.411304,77.967033,969.6,291,WIFI
04:95:E6:41:90:48,Tenda_419048,[ESS],35:54.5,3,-83,30.411304,77.967033,969.6,291,WIFI
40:3F:8C:6B:C0:1C,ENET 702,[WPA2-PSK-CCMP+TKIP][ESS],35:54.5,4,-90,30.411304,77.967033,969.6,291,WIFI
80:07:1B:4E:59:6F,NEXTWISE_SAICABLE,[WPA2-PSK-CCMP+TKIP][ESS],35:54.5,5,-62,30.411304,77.967033,969.6,291,WIFI
96:00:FE:F3:69:39,Galaxy M323410,[WPA2-PSK-CCMP+TKIP][ESS],35:54.5,6,-51,30.411304,77.967033,969.6,291,WIFI
00:31:92:E7:C8:A6,Stanza_Spectra_WiFi_Zone,[WPA2-PSK-CCMP+TKIP][ESS],35:54.5,6,-89,30.411304,77.967033,969.6,291,WIFI
60:A4:B7:C8:8E:44,Stanza_Spectra_WiFi_Zone,[WPA2-PSK-CCMP+TKIP][ESS],35:54.6,6,-82,30.411308,77.967025,969.6,291,WIFI
C8:E7:D8:93:2B:E2,ARVIND_PG,[ESS],35:54.6,10,-66,30.411308,77.967025,969.6,291,WIFI
32:BC:2C:1B:B7:D2,Prachi' Galaxy A21s,[WPA2-PSK-CCMP+TKIP][ESS],35:54.6,11,-83,30.411315,77.967025,969.6,291,WIFI
A8:E2:07:49:17:D5,BSNL-TARUN,[WPA2-PSK-CCMP+TKIP][ESS],35:54.6,11,-89,30.411315,77.967025,969.6,291,WIFI
96:00:FE:F3:69:39,Galaxy M323410,[WPA2-PSK-CCMP+TKIP][ESS],35:54.6,6,-49,30.411319,77.967018,969.6,291,WIFI
60:A4:B7:C8:91:20,Stanza_Spectra_WiFi_Zone,[ESS],35:54.6,6,-87,30.411319,77.967018,969.6,291,WIFI
04:95:E6:41:90:98,ENET AMBITION 27,[ESS],35:54.6,7,-88,30.411319,77.967018,969.6,291,WIFI
50:2B:73:E5:5A:D8,SERANG_WIFI1,[WPA2-PSK-CCMP+TKIP][ESS],35:54.6,9,-87,30.411319,77.967018,969.6,291,WIFI
04:95:E6:41:8F:C8,ENET 20,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],35:58.8,10,-85,30.411319,77.967018,969.6,291,WIFI
A8:E2:07:49:17:D5,BSNL-TARUN,[WPA2-PSK-CCMP+TKIP][ESS],35:58.8,11,-82,30.411319,77.967018,969.6,291,WIFI
96:00:FE:F3:69:39,Galaxy M323410,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],35:58.8,6,-53,30.411315,77.967018,969.6,291,WIFI
32:BC:2C:1B:B7:D2,Prachi's Galaxy A21s,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],35:58.8,11,-83,30.411315,77.967018,969.6,291,WIFI
